frame,track_id,class_id,class_name,confidence,x1,y1,x2,y2
8,5,0,car,0.7307,167,178,219,227
8,6,0,car,0.6641,153,164,185,193
8,7,0,car,0.5396,0,213,70,256
9,1,0,car,0.794,742,190,819,239
9,2,0,car,0.7899,490,206,559,244
9,3,0,car,0.7828,598,193,667,227
9,4,0,car,0.758,680,144,735,175
9,5,0,car,0.7355,178,174,230,224
9,6,0,car,0.6638,168,162,199,191
9,7,0,car,0.3448,15,209,84,253
9,8,0,car,0.3316,0,406,29,477
10,1,0,car,0.7952,778,192,856,240
10,2,0,car,0.7906,508,207,575,247
10,3,0,car,0.7885,614,198,681,231
10,4,0,car,0.7599,698,148,752,180
10,5,0,car,0.7359,201,171,255,219
10,6,0,car,0.7206,0,388,65,465
10,7,0,car,0.6413,40,206,110,249
10,8,0,car,0.6346,194,159,223,188
10,9,0,car,0.6272,41,205,108,249
10,10,0,car,0.3115,205,158,235,187
11,1,0,car,0.7919,779,192,856,239
11,2,0,car,0.7901,508,207,575,247
11,3,0,car,0.7877,614,198,681,231
11,4,0,car,0.7639,698,148,752,180
11,5,0,car,0.7352,201,171,255,219
11,6,0,car,0.7173,0,387,65,465
11,7,0,car,0.6876,41,206,110,249
11,8,0,car,0.6375,194,159,223,188
11,9,0,car,0.3636,204,158,234,187
12,1,0,car,0.8204,0,388,81,458
12,2,0,car,0.7939,797,193,872,240
12,3,0,car,0.7918,514,208,580,248
12,4,0,car,0.7782,626,200,688,233
12,5,0,car,0.7712,709,149,764,182
12,6,0,car,0.771,52,204,119,247
12,7,0,car,0.733,215,169,267,217
12,8,0,car,0.5492,205,157,233,184
12,9,0,car,0.4998,212,156,241,183
13,1,0,car,0.8377,0,380,93,455
13,2,0,car,0.7908,516,209,587,248
13,3,0,car,0.7882,631,201,692,234
13,4,0,car,0.7866,814,194,886,240
13,5,0,car,0.7714,714,153,773,184
13,6,0,car,0.7632,61,203,129,245
13,7,0,car,0.7404,223,167,275,216
13,8,0,car,0.6344,217,156,247,179
14,1,0,car,0.8579,0,375,106,450
14,2,0,car,0.7964,522,210,590,249
14,3,0,car,0.7939,634,203,697,236
14,4,0,car,0.7849,70,202,138,244
14,5,0,car,0.7756,828,194,901,240
14,6,0,car,0.7677,722,155,779,186
14,7,0,car,0.7455,236,166,285,215
14,8,0,car,0.5997,225,155,257,179
14,9,0,car,0.4809,234,155,265,180
14,10,0,car,0.3283,993,180,1002,230
15,1,0,car,0.8702,0,369,129,439
15,2,0,car,0.797,856,194,934,240
15,3,0,car,0.7941,528,212,596,251
15,4,0,car,0.793,82,202,150,242
15,5,0,car,0.7881,638,205,706,239
15,6,0,car,0.7718,731,158,788,189
15,7,0,car,0.7401,248,163,299,212
15,8,0,car,0.6301,244,153,276,177
15,9,0,car,0.3383,236,152,267,177
15,10,0,car,0.2668,993,186,1002,236
16,1,0,car,0.8703,0,369,129,439
16,2,0,car,0.7974,856,194,934,240
16,3,0,car,0.7945,528,212,596,251
16,4,0,car,0.7944,82,202,150,242
16,5,0,car,0.7881,637,205,706,239
